source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_ESC68N_Wa_22,0.501,photometric measurement,7.58,CTD-system,7.61,CTD-system,32.4,CTD-system,33,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_23,0.501,photometric measurement,7.58,CTD-system,7.61,CTD-system,32.4,CTD-system,33,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_24,0.501,photometric measurement,7.58,CTD-system,7.61,CTD-system,32.4,CTD-system,33,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_25,0.501,photometric measurement,7.58,CTD-system,7.61,CTD-system,32.4,CTD-system,33,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_26,0.501,photometric measurement,7.58,CTD-system,7.61,CTD-system,32.4,CTD-system,33,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_27,0.501,photometric measurement,7.58000000000001,CTD-system,7.61,CTD-system,32.4,CTD-system,33,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_28,0.501,photometric measurement,7.58000000000001,CTD-system,7.61,CTD-system,32.4,CTD-system,33,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_31,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_32,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_33,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_34,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_35,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_36,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_37,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_38,0.719,photometric measurement,3.28,CTD-system,3.29,CTD-system,33.5,CTD-system,33.4,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_41,0.584,photometric measurement,3.79,CTD-system,3.83,CTD-system,32.9,CTD-system,33.31,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_42,0.584,photometric measurement,3.79,CTD-system,3.83,CTD-system,32.9,CTD-system,33.31,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_43,0.584,photometric measurement,3.79,CTD-system,3.83,CTD-system,32.9,CTD-system,33.31,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_44,0.584,photometric measurement,3.79,CTD-system,3.83,CTD-system,32.9,CTD-system,33.31,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_45,0.584,photometric measurement,3.79,CTD-system,3.83,CTD-system,32.9,CTD-system,33.31,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_46,0.584,photometric measurement,3.79,CTD-system,3.83,CTD-system,32.9,CTD-system,33.31,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ESC68N_Wa_47,0.584,photometric measurement,3.79,CTD-system,3.83,CTD-system,32.9,CTD-system,33.31,CTD-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
